US.MRK,默沙东,STOCK,398314664.764,6341189.0
US.ESRX,快捷药方,STOCK,493399161.054,6283994.0
US.KDP,"Keurig Dr Pepper, Inc.",STOCK,153456192.592,6206990.0
US.CZR,凯撒娱乐,STOCK,71363552.708,6199575.0
US.GS,高盛,STOCK,1425914650.953,6149874.0
US.NKE,耐克,STOCK,467914909.222,6101602.0
US.CVX,雪佛龙,STOCK,732277350.026,6061299.0
US.TXT,德事隆,STOCK,396431402.158,6056283.0
US.AGNC,美国资本代理公司,STOCK,114367491.853,6005592.0
US.AVP,雅芳,STOCK,8736340.95,6000659.0
US.AXP,美国运通,STOCK,607262957.671,5923812.0
US.ZNGA,Zynga,STOCK,25060497.882,5854473.0
US.IDRA,井寺制药,STOCK,5027933.186,5818087.0
US.BBT,BB&T银行,STOCK,305389453.207,5803950.0
US.MOMO,陌陌,STOCK,266179157.055,5794975.0
US.RUBY,Rubius Therapeutics,STOCK,158984722.674,5743054.0
US.INPX,Inpixon,STOCK,998499.937,5684412.0
US.COP,康菲石油,STOCK,395960133.961,5667669.0
US.PZZA,"Papa John's International, Inc.",STOCK,302881807.977,5659940.0
US.VOD,沃达丰,STOCK,134045166.26,5658106.0
US.ON,安森美半导体,STOCK,135894008.802,5635059.0
US.GLW,康宁,STOCK,165327974.814,5626094.0
US.TSLA,特斯拉,STOCK,1810776695.07,5624211.0
US.RIOT,"Riot Blockchain, Inc.",STOCK,33728543.122,5603638.0
US.IPG,埃培智,STOCK,124809923.763,5562410.0
US.MARA,"Marathon Patent Group, Inc.",STOCK,6585060.18,5527084.0
US.ABBV,艾伯维公司,STOCK,522880534.658,5521853.0
US.NLY,"Annaly Capital Management, Inc.",STOCK,57357892.579,5520501.0
US.EPD,Enterprise Products Partners LP,STOCK,157210914.874,5503754.0
US.CPE,卡隆石油,STOCK,59918453.052,5494130.0
US.DB,德意志银行,STOCK,66265101.444,5494030.0
US.TXN,德州仪器,STOCK,633484668.838,5491924.0
US.SBGI,"Sinclair Broadcast Group, Inc.",STOCK,148971706.804,5440815.0
US.NWL,纽威,STOCK,146619905.943,5421896.0
US.CI,信诺,STOCK,959772610.818,5413464.0
US.JBLU,捷蓝航空,STOCK,107662996.125,5402176.0
US.IBN,印度工业信贷投资银行,STOCK,41987844.321,5394833.0
US.PEP,百事可乐,STOCK,616519773.424,5379211.0
US.HCSG,医疗保健服务,STOCK,203888955.728,5349553.0
US.AU,AngloGold Ashanti Ltd.,STOCK,44066695.104,5309374.0
US.HLT,希尔顿酒店,STOCK,438998732.666,5303802.0
US.ATVI,动视暴雪,STOCK,427863184.579,5273739.0
US.SYF,Synchrony Financial,STOCK,174168678.608,5236880.0
US.UNP,联合太平洋,STOCK,736277905.89,5221613.0
US.PAA,Plains All American Pipeline LP,STOCK,122642366.896,5204030.0
US.BNPQY,法巴银行(ADR),STOCK,157432635.616,5200304.0
US.KHC,卡夫亨氏,STOCK,322203944.018,5196379.0
US.GILD,吉利德科学,STOCK,400300430.911,5186798.0
US.NGD,"New Gold, Inc.",STOCK,9780955.815,5179696.0
US.SBGL,Sibanye-Stillwater,STOCK,11673834.728,5172948.0
US.DWDP,陶氏杜邦公司,STOCK,344302703.696,5160011.0
US.CTIC,CTI BioPharma Corp.,STOCK,12844527.851,5156472.0
US.COG,卡伯特油气,STOCK,122946724.827,5155918.0
US.CVS,CVS健康,STOCK,347873952.918,5129510.0
US.WU,西联汇款,STOCK,103122407.831,5118380.0
US.NRG,NRG能源,STOCK,165608192.539,5089635.0
US.MPC,马拉松石油,STOCK,366241701.745,5089496.0
US.CXO,康休,STOCK,758139232.516,5085645.0
US.COTY,科蒂,STOCK,69931398.272,5080895.0
US.MO,奥驰亚,STOCK,291124252.801,5066224.0
US.HST,美国豪斯特酒店,STOCK,106754412.627,5058216.0
US.ENDP,远藤制药,STOCK,56274369.223,5051869.0
US.WMT,沃尔玛,STOCK,446070864.606,5045531.0
US.MDT,美敦力,STOCK,442357544.13,5015786.0
US.GG,"Goldcorp, Inc.",STOCK,66891142.54,5010436.0
US.HK,Halc贸n Resources Corp.,STOCK,18464160.546,4994212.0
US.CX,西麦斯,STOCK,33486320.293,4984288.0
US.PF,"Pinnacle Foods, Inc.",STOCK,322456746.028,4940624.0
US.SQ,"Square, INC.",STOCK,335275242.119,4913121.0
US.WY,惠好,STOCK,172985042.342,4895049.0
US.EXC,爱克斯龙,STOCK,204781374.363,4893718.0
US.TRXC,"TransEnterix, Inc.",STOCK,23489893.057,4873744.0
US.AEO,美鹰服饰,STOCK,117462081.191,4863527.0
US.AMZN,亚马逊,STOCK,8964545560.104,4861913.0
US.S,斯普林特奈科斯特公司,STOCK,27073131.5,4857554.0
US.ETP,Energy Transfer Partners LP,STOCK,93456617.364,4831933.0
US.RRC,山脉资源集团,STOCK,77422464.033,4814687.0
US.NXPI,恩智浦,STOCK,507075162.416,4799063.0
US.PYPL,PayPal,STOCK,423411313.625,4797062.0
US.PLD,普洛斯,STOCK,300573746.345,4784191.0
US.KGC,金罗斯黄金,STOCK,17717102.255,4762584.0
US.SRC,"Spirit Realty Capital, Inc.",STOCK,38691840.376,4756856.0
US.FDC,FIRST DATA CORP,STOCK,106125452.029,4664863.0
US.CTL,世纪电信,STOCK,90699401.076,4639708.0
US.CCL,嘉年华邮轮,STOCK,271483560.671,4563273.0
US.PHM,普得集团,STOCK,140158991.284,4558560.0
US.TCEHY,腾讯控股(ADR),STOCK,220708260.971,4554466.0
US.GIS,通用磨坊,STOCK,196326267.542,4526396.0
US.PCG,太平洋煤气电力,STOCK,189625674.855,4496460.0
US.M,梅西百货,STOCK,167927835.856,4491615.0
US.STNG,"Scorpio Tankers, Inc.",STOCK,10612433.011,4458414.0
US.MLCO,Melco Resorts & Entertainment Ltd.,STOCK,107172829.106,4411914.0
US.CAT,卡特彼勒,STOCK,617734333.636,4394797.0
US.NE,诺布尔,STOCK,26603634.561,4366852.0
US.CTRP,携程网,STOCK,191303061.268,4346930.0
US.AG,First Majestic Silver Corp.,STOCK,29459963.8,4319766.0
US.CUZ,卡津斯不动产信托基金,STOCK,40296279.073,4291915.0
US.CRRFY,家乐福(ADR),STOCK,13040018.446,4277702.0
US.CFG,"Citizens Financial Group, Inc. (Rhode Island)",STOCK,174566642.782,4275141.0
US.PE,"Parsley Energy, Inc.",STOCK,134201009.032,4270601.0
US.NOG,"Northern Oil & Gas, Inc.",STOCK,14020539.454,4216929.0
US.VIPS,唯品会,STOCK,41966759.916,4215228.0
US.WPX,WPX能源,STOCK,78106890.477,4208723.0
US.JCI,江森自控,STOCK,147746029.313,4181520.0
US.TAHO,太浩资源公司,STOCK,19599801.678,4177568.0
US.TGT,塔吉特,STOCK,320055759.912,4161028.0
US.CIEN,Ciena科技,STOCK,108741413.403,4142634.0
US.BHGE,"Baker Hughes, a GE Co.",STOCK,133998261.785,4141735.0
US.CELG,新基公司,STOCK,354043329.529,4125790.0
US.NEM,纽曼矿业,STOCK,151582781.34,4088527.0
US.UBS,瑞银,STOCK,62685380.29,4079654.0
US.MET,大都会人寿,STOCK,182469533.4,4074213.0
US.MYL,迈兰制药,STOCK,146224808.52,4063498.0
US.BPL,巴克艾,STOCK,135978319.558,4030982.0
US.OMC,宏盟集团,STOCK,283797550.222,4023923.0
US.BHC,BAUSCH HEALTH COMPANIES INC,STOCK,93322061.912,4011651.0
